Category,Overallrating,NumberReviews,PriceRange,Name
Burmese,4,6380,$$,Burma Superstar
Italian,4,1537,$$,Barbacco
Italian,4,708,$$,Capo’s Chicago Pizza
Tapas/Small Plates,4,198,$$,barvale
Mexican,4,788,$$,Padrecito
Spanish,4,737,$$,Alegrias
Hawaiian,4,489,$$,Pa’ina Lounge & Restaurant
German,4.5,383,$$,Cafe Europa
Italian,3.5,3712,$$,The Stinking Rose
Indian,4,2826,$$$,DOSA on Fillmore
Ramen,4,605,$$,Nojo Ramen Tavern
Mexican,4,3181,$,Nick’s Crispy Tacos
Sushi Bars,4,2703,$$,Ryoko’s
Sushi Bars,4,87,$$,Sumo
Dim Sum,4,1109,$$,Dumpling Time
Korean,4.5,146,$$,Barnzu
French,4.5,1948,$$,Chez Maman East
Spanish,4,508,$$$,Bellota
Italian,4,340,$$,Fiorella
Seafood,4,1509,$$,Pier Market Seafood Restaurant
Noodles,4,562,$$,Chong Qing Xiao Mian
French,4,1398,$$$$,Quince
Pizza,4.5,250,$$,Pink Onion
American (New),4,590,$$,Eureka Restaurant & Lounge
Singaporean,4,1446,$,Lime Tree Southeast Asian Kitchen
Italian,4,604,$$,a Mano
Chicken Wings,4.5,1013,$,Hot Sauce and Panko
Seafood,4,2089,$$,Woodhouse Fish Company
Korean,4.5,146,$$,JIJIME
American (New),4,188,$$,Urban Tavern
American (New),4,1352,$$$,Twenty Five Lusk
Burgers,4.5,725,$$,Box Kitchen
Seafood,3,1654,$$,Bubba Gump Shrimp
Indian,4,482,$$$,ROOH
Caribbean,4,3121,$$,Cha Cha Cha
American (Traditional),4.5,654,$$,Hopwater Distribution
Tapas Bars,4.5,315,$$,RM 212
Czech,4.5,364,$$,Paprika
Chinese,4,877,$,Sam Wo Restaurant
Italian,4,1198,$$,Original Joe’s
Italian,4,1991,$$$,Delfina
French,4,91,$$$,Chez Marius
Mexican,4,1719,$$,Don Pisto’s
American (Traditional),4,878,$$,West of Pecos
Mediterranean,4,349,$$,Barcha
American (Traditional),4,448,$$,Mac Daddy
Asian Fusion,3.5,2485,$$$,Tonga Room & Hurricane Bar
Vegetarian,4,1926,$$$,Greens Restaurant
Middle Eastern,4,1420,$$,La Mediterranee
Korean,4.5,228,$$,Saucy Asian
Filipino,4.5,476,$,Tselogs
Himalayan/Nepalese,4.5,190,$$,Dancing Yak
Japanese,4.5,26,$$,Shabu House
Seafood,4.5,1401,$$$,Anchor Oyster Bar
Thai,4,1571,$$,Marnee Thai
American (Traditional),4.5,113,$$,Creator
Moroccan,4,569,$$$,El Mansour
Hot Pot,4.5,60,$$,DNM Hot Pot
Lounges,4,616,$$,Azucar Lounge
Thai,4,348,$$,Saap Ver Authentic Thai Cuisine
Indian,4,2233,$$,DOSA on Valencia
Sports Clubs,4,230,$$,SPIN San Francisco
Vietnamese,4.5,119,$$$$,Khai
Chinese,4.5,66,$$$$,Eight Tables by George Chen
Sushi Bars,4.5,365,$$$$,Hinata
Japanese,4,1520,$$,Sanraku
Korean,4,1492,$$,Han Il Kwan
Barbeque,4,55,$$,No.1 SF BBQ
French,4,473,$$$,Cocotte
Steakhouses,4,3206,$$$,Espetus Brazilian Steak House
Indian,4,532,$$,Mela Tandoori Kitchen
American (New),4,647,$$,Maven
American (New),4.5,510,$$$$,Lazy Bear
American (New),4,988,$$,The Pink Elephant Alibi
Moroccan,4,142,$$,Khamsa
Pizza,4.5,1185,$$,Pizzetta 211
German,4.5,993,$$,Leopold’s
Breakfast & Brunch,4,10030,$$,Brenda’s French Soul Food
Seafood,4,1206,$$,Dragon Beaux
Ramen,4,77,$$,Ushi Taro
Vietnamese,4,1142,$$,Tín Vietnamese Cuisine
Grocery,4.5,1196,$$,Italian Homemade Company
Mexican,4,1764,$$,Nopalito
