Category,Overallrating,Name,Delivery,NumberReviews,PriceRange
Seafood,4,Scoma’s Restaurant,No,3315,$$$
Italian,4,Capo’s Chicago Pizza,Yes,708,$$
Taiwanese,4,HoDaLa,Yes,266,$$
Greek,4.5,Kitchen Istanbul,No,429,$$
Gastropubs,4.5,Hogwash,No,944,$$
American (New),4,Fable,No,419,$$
Korean,4,HRD,Yes,2386,$$
Tapas/Small Plates,4,barvale,No,199,$$
Korean,4,Han Il Kwan,No,1492,$$
Mexican,4,Don Pisto’s,No,1716,$$
Latin American,4,El Techo,No,1590,$$
Asian Fusion,4,Grill Spot,Yes,136,$$
American (New),4.5,Frances,No,1453,$$$
Burgers,4,Hi-Way Burger & Fry,No,91,$$
Sports Clubs,4,SPIN San Francisco,No,231,$$
Middle Eastern,4,La Mediterranee,Yes,1422,$$
Hot Pot,4.5,DNM Hot Pot,No,61,$$
Spanish,3.5,Thirsty Bear Brewing Company,No,1853,$$
Japanese,4.5,Goemon,No,98,$$
Korean,4,The Crew,No,376,$$
Breakfast & Brunch,4.5,Wooden Spoon,No,160,$$
Chicken Shop,4,The Bird,No,1169,$
Ramen,4,Nojo Ramen Tavern,No,607,$$
Hot Pot,4.5,Boiling Hot Pot,No,730,$$
American (New),4.5,Trestle,No,741,$$$
American (New),4,Prospect,No,1505,$$$
Italian,4,Fiorella,Yes,342,$$
American (New),4.5,Stones Throw,No,858,$$$
Filipino,4.5,Tselogs,No,478,$
Sushi Bars,4.5,Shizen Vegan Sushi Bar & Izakaya,No,1242,$$
Moroccan,4,Khamsa,No,142,$$
Sandwiches,5,Hotbird,No,34,$
Gastropubs,3.5,The Tipsy Pig,No,1486,$$
Indian,4,DOSA on Valencia,Yes,2233,$$
American (Traditional),4.5,Hopwater Distribution,No,655,$$
Burmese,4,B Star Bar,No,1768,$$
American (Traditional),4,BIX,No,1709,$$$
Indian,4,North India Restaurant,Yes,1285,$$
French,4,Bistro Aix,No,623,$$
Seafood,4,Woodhouse Fish Company,No,2091,$$
Vietnamese,4.5,Ly’s Vietnamese Cuisine,No,369,$$
American (New),4,Lark,No,241,$$
Mediterranean,4,Barcha,No,349,$$
American (Traditional),4,Spruce,No,1805,$$$$
American (Traditional),4.5,Creator,No,114,$$
French,4.5,Mathilde French Bistro,No,193,$$$
Korean,4.5,JIJIME,Yes,147,$$
Barbeque,4,Jang Soo BBQ,No,502,$$
Chinese,4.5,Eight Tables by George Chen,No,68,$$$$
Mexican,4,El Farolito,No,4560,$
Latin American,4.5,La Fusión,No,1077,$$
Italian,4,Beretta,No,3378,$$
Sushi Bars,4,Ryoko’s,No,2704,$$
Moroccan,4,Mourad Restaurant,No,862,$$$
Korean,4.5,Barnzu,No,147,$$
Japanese,4,Sanraku,No,1520,$$
Ramen,4,Ichiraku Ramen,Yes,109,$$
French,4.5,Chez Maman East,Yes,1952,$$
Indian,4,ROOH,No,487,$$$
French,4.5,Chapeau!,No,2596,$$$
Asian Fusion,3.5,Tonga Room & Hurricane Bar,No,2485,$$$
Ramen,4,Izakaya Roku,No,408,$$
Thai,4,Basil Thai Restaurant & Bar,No,1439,$$
Seafood,4,Farallon,No,1533,$$$$
Ramen,4,Ushi Taro,No,78,$$
Italian,4,Cotogna,No,1312,$$$
Indian,4,Mela Tandoori Kitchen,Yes,532,$$
Indian,4,DOSA on Fillmore,No,2829,$$$
American (New),4,Straw,Yes,1693,$$
Peruvian,4,Limón Rotisserie,No,3009,$$
Chicken Wings,4.5,Hot Sauce and Panko,Yes,1014,$
Italian,4,Original Joe’s,No,1203,$$
Burgers,4.5,Box Kitchen,No,725,$$
French,4,Cocotte,No,473,$$$
Pizza,4.5,Pizzetta 211,No,1186,$$
German,4,Suppenküche,No,3022,$$
Mediterranean,4,Oren’s Hummus,No,218,$$
Italian,4.5,Seven Hills,No,922,$$$
Seafood,4.5,La Ciccia,No,1022,$$$
Moroccan,4,El Mansour,No,569,$$$
Cafes,4,Pearl 6101,No,125,$$
Steakhouses,4,Lolinda,No,1777,$$$
Seafood,4.5,Golden Crab House,No,40,$$
Vietnamese,4.5,Khai,No,119,$$$$
Filipino,4,Pampanguena Cuisine,N/A,290,$$
American (New),4.5,Benu,No,993,$$$$
American (New),4,Twenty Five Lusk,No,1353,$$$
Mexican,4,Nopalito,No,1179,$$
Cocktail Bars,4,The Snug,No,128,$$
Mexican,4,Nick’s Crispy Tacos,Yes,3183,$
Vietnamese,4,Tín Vietnamese Cuisine,No,1143,$$
French,4,Quince,No,1399,$$$$
Tapas Bars,4.5,RM 212,No,316,$$
American (New),4,Boulevard,No,2563,$$$$
Japanese,4.5,OzaOza,No,84,$$$$
Comfort Food,4,Starbelly,No,1673,$$
American (New),4,Hillstone,No,2062,$$$
